Parent and Person SubClassOf Father, \nTrue
Can Father that is also GrandMother be considered a subcategory of 'Daughter'?, \nFalse
Can Male be considered a subcategory of 'something that hasSibling some Man'?, \nFalse
Can GrandParent that is also Woman be considered a subcategory of 'Man'?, \nFalse
Can something that hasSibling some Sister be considered a subcategory of 'Sex'?, \nFalse
Can something that hasChild some OffSpring be considered a subcategory of 'Sex'?, \nFalse
Can GrandMother be considered a subcategory of 'something that hasChild some Son'?, \nFalse
Can Child that is also Son be considered a subcategory of 'Male'?, \nFalse
Can Sex that is also Sibling be considered a subcategory of 'OffSpring'?, \nI
Can something that hasSibling some GrandParent be considered a subcategory of 'Son'?, \nFalse
Can Father that is also Sibling be considered a subcategory of 'Son'?, \nFalse
Can something that hasParent some Man be considered a subcategory of 'Child'?, \nFalse
Can something that hasSibling some Parent be considered a subcategory of 'Father'?, \nFalse
Can Child that is also Daughter be considered a subcategory of 'OffSpring'?, \nFalse
Can GrandParent that is also Woman be considered a subcategory of 'Sex'?, \nFalse
Can GrandMother that is also Man be considered a subcategory of 'GrandParent'?, \nFalse
Can Brother that is also Man be considered a subcategory of 'Sex'?, \nFalse
Can GrandParent that is also Son be considered a subcategory of 'OffSpring'?, \nFalse
Can Male that is also Sibling be considered a subcategory of 'OffSpring'?, \nFalse
Can Parent that is also Sex be considered a subcategory of 'Daughter'?, \nFalse
Can Brother that is also Man be considered a subcategory of 'Daughter'?, \nFalse
Can Father be considered a subcategory of 'something that hasSex some Mother'?, \nFalse
Can GrandFather be considered a subcategory of 'something that hasChild some Sex'?, \nFalse
Can something that hasParent some Son be considered a subcategory of 'Brother'?, \nFalse
Can something that hasSibling some Male be considered a subcategory of 'Mother'?, \nFalse
Can Person that is also Sibling be considered a subcategory of 'Child'?, \nFalse
Can Brother that is also Man be considered a subcategory of 'Father'?, \nFalse
Can GrandParent that is also Woman be considered a subcategory of 'Sister'?, \nFalse
Can Child that is also Sibling be considered a subcategory of 'Man'?, \nFalse
Can Female that is also Parent be considered a subcategory of 'Father'?, \nFalse
Can something that hasSibling some Male be considered a subcategory of 'GrandParent'?, \nFalse
Can Sister be considered a subcategory of 'something that hasSex some GrandParent'?, \nFalse
Can something that hasSex some Female be considered a subcategory of 'Person'?, \nFalse
Can Daughter that is also Female be considered a subcategory of 'Man'?, \nFalse
Can Mother that is also Sex be considered a subcategory of 'Daughter'?, \nFalse
Can GrandFather be considered a subcategory of 'something that hasChild some GrandFather'?, \nFalse
Can GrandMother that is also Person be considered a subcategory of 'Man'?, \nFalse
Can Parent be considered a subcategory of 'something that hasSibling some Person'?, \nFalse
Can something that hasChild some Sister be considered a subcategory of 'Person'?, \nFalse
Can Brother that is also OffSpring be considered a subcategory of 'Sibling'?, \nFalse
Can Child be considered a subcategory of 'something that hasParent some Sibling'?, \nFalse
Can Daughter that is also Person be considered a subcategory of 'Brother'?, \nFalse
Can Man be considered a subcategory of 'something that hasSex some OffSpring'?, \nFalse
Can Person be considered a subcategory of 'something that hasChild some Brother'?, \nFalse
Can Parent be considered a subcategory of 'something that hasParent some Son'?, \nFalse
Can GrandFather be considered a subcategory of 'something that hasSex some Male'?, \nFalse
Can Brother that is also Child be considered a subcategory of 'Sex'?, \nFalse
Can GrandParent that is also Mother be considered a subcategory of 'OffSpring'?, \nFalse
Can OffSpring that is also Sibling be considered a subcategory of 'Brother'?, \nFalse
Can Father that is also Female be considered a subcategory of 'OffSpring'?, \nFalse
Can Sex that is also Son be considered a subcategory of 'Parent'?, \nI
Can Brother that is also GrandMother be considered a subcategory of 'Male'?, \nFalse
Can OffSpring that is also Son be considered a subcategory of 'GrandFather'?, \nFalse
Can Parent be considered a subcategory of 'something that hasChild some Man'?, \nFalse
Can Female that is also Sex be considered a subcategory of 'GrandParent'?, \nFalse
Can Mother that is also OffSpring be considered a subcategory of 'GrandFather'?, \nFalse
Can Brother that is also GrandFather be considered a subcategory of 'Person'?, \nFalse
Can something that hasParent some GrandMother be considered a subcategory of 'Father'?, \nFalse
Can something that hasSibling some Father be considered a subcategory of 'Daughter'?, \nFalse
Can Brother that is also Parent be considered a subcategory of 'GrandParent'?, \nFalse
Can Man that is also Woman be considered a subcategory of 'Sex'?, \nFalse
Can something that hasChild some Son be considered a subcategory of 'Daughter'?, \nFalse
Can Male that is also Sister be considered a subcategory of 'Daughter'?, \nFalse
Can GrandMother that is also Person be considered a subcategory of 'Brother'?, \nFalse
Can GrandParent that is also Parent be considered a subcategory of 'Man'?, \nFalse
Can Man that is also Sibling be considered a subcategory of 'Father'?, \nFalse
Can GrandMother that is also Woman be considered a subcategory of 'GrandFather'?, \nFalse
Can Child that is also Father be considered a subcategory of 'Man'?, \nFalse
Can Female that is also Woman be considered a subcategory of 'Person'?, \nFalse
Can Female that is also GrandParent be considered a subcategory of 'Sister'?, \nFalse
Can Brother that is also Sibling be considered a subcategory of 'Sister'?, \nFalse
Can GrandMother that is also Sister be considered a subcategory of 'GrandFather'?, \nFalse
Can Daughter that is also GrandFather be considered a subcategory of 'Man'?, \nFalse
Can Father be considered a subcategory of 'something that hasSibling some Brother'?, \nFalse
Can Sister that is also Son be considered a subcategory of 'Male'?, \nFalse
Can something that hasParent some Person be considered a subcategory of 'Son'?, \nFalse
Can Mother that is also Sibling be considered a subcategory of 'Male'?, \nFalse
Can Female that is also Woman be considered a subcategory of 'Male'?, \nFalse
Can Father be considered a subcategory of 'something that hasSex some GrandMother'?, \nFalse
Can Female that is also GrandParent be considered a subcategory of 'Parent'?, \nFalse
Can Man be considered a subcategory of 'something that hasParent some Person'?, \nTrue
Can Man be considered a subcategory of 'Father'?, \nFalse
Can Man be considered a subcategory of 'Child'?, \nFalse
Can Man be considered a subcategory of 'Daughter'?, \nFalse
Can Man be considered a subcategory of 'Mother'?, \nFalse
Can Man be considered a subcategory of 'GrandParent'?, \nFalse
Can Man be considered a subcategory of 'Sex'?, \nFalse
Can Man be considered a subcategory of 'Sister'?, \nFalse
Can Man be considered a subcategory of 'OffSpring'?, \nFalse
Can Man be considered a subcategory of 'Male'?, \nTrue
Can Man be considered a subcategory of 'GrandMother'?, \nFalse
Can Man be considered a subcategory of 'Thing'?, \nFalse
Can Man be considered a subcategory of 'Female'?, \nFalse
Can Man be considered a subcategory of 'Woman'?, \nFalse
Can Man be considered a subcategory of 'Sibling'?, \nFalse
Can Man be considered a subcategory of 'GrandFather'?, \nFalse
Can GrandFather that is also Sister be considered a subcategory of 'Person'?, \nFalse
Can Sibling that is also Sister be considered a subcategory of 'Parent'?, \nFalse
Can Daughter that is also OffSpring be considered a subcategory of 'Sister'?, \nFalse
Can Sex that is also Son be considered a subcategory of 'Sister'?, \nI
Can GrandParent that is also Mother be considered a subcategory of 'Brother'?, \nFalse
Can Sister be considered a subcategory of 'something that hasChild some Parent'?, \nTrue
Can Sister be considered a subcategory of 'Son'?, \nFalse
Can Sister be considered a subcategory of 'Father'?, \nFalse
Can Sister be considered a subcategory of 'Child'?, \nFalse
Can Sister be considered a subcategory of 'Daughter'?, \nFalse
Can Sister be considered a subcategory of 'Man'?, \nFalse
Can Sister be considered a subcategory of 'Mother'?, \nFalse
Can Sister be considered a subcategory of 'GrandParent'?, \nFalse
Can Sister be considered a subcategory of 'Sex'?, \nFalse
Can Sister be considered a subcategory of 'OffSpring'?, \nFalse
Can Sister be considered a subcategory of 'Male'?, \nFalse
Can Sister be considered a subcategory of 'Sibling'?, \nTrue
Can Sister be considered a subcategory of 'GrandMother'?, \nFalse
Can Sister be considered a subcategory of 'Thing'?, \nFalse
Can Sister be considered a subcategory of 'Woman'?, \nTrue
Can Sister be considered a subcategory of 'Sibling that is also Woman'?, \nFalse
Can Sister be considered a subcategory of 'GrandFather'?, \nFalse
Can GrandFather that is also Sibling be considered a subcategory of 'Son'?, \nFalse
Can Female that is also Sibling be considered a subcategory of 'Son'?, \nFalse
Can Father that is also GrandParent be considered a subcategory of 'Child'?, \nFalse
Can Woman be considered a subcategory of 'something that hasChild some OffSpring'?, \nFalse
Can Child that is also GrandMother be considered a subcategory of 'Parent'?, \nFalse
Can Mother be considered a subcategory of 'something that hasSex some OffSpring'?, \nFalse
Can Brother that is also Sister be considered a subcategory of 'Child'?, \nFalse
Can Man that is also Woman be considered a subcategory of 'Child'?, \nFalse
Can something that hasSex some Father be considered a subcategory of 'Parent'?, \nFalse
Can something that hasChild some Sex be considered a subcategory of 'Male'?, \nI
Can GrandParent be considered a subcategory of 'Brother'?, \nFalse
Can GrandMother that is also Son be considered a subcategory of 'Parent'?, \nFalse
Can Person be considered a subcategory of 'something that hasSibling some Son'?, \nFalse
Can Man that is also Sister be considered a subcategory of 'Brother'?, \nFalse
Can Mother be considered a subcategory of 'something that hasParent some Sibling'?, \nFalse
Can OffSpring be considered a subcategory of 'something that hasSibling some Person'?, \nFalse
Can Person that is also Sex be considered a subcategory of 'Daughter'?, \nFalse
Can something that hasChild some Mother be considered a subcategory of 'Mother'?, \nTrue
Can something that hasChild some Mother be considered a subcategory of 'Son'?, \nFalse
Can something that hasChild some Mother be considered a subcategory of 'Father'?, \nFalse
Can something that hasChild some Mother be considered a subcategory of 'Child'?, \nFalse
Can something that hasChild some Mother be considered a subcategory of 'Person'?, \nTrue
Can Female that is also GrandMother that is also Woman that is also Thing be considered a subcategory of 'Female that is also GrandMother that is also Woman that is also Thing that is also something that (hasChild some (Female that is also GrandMother that is also Mother that is also Parent that is also Woman that is also Thing))'?, \nFalse
Can Female that is also GrandMother that is also Woman that is also Thing be considered a subcategory of 'Son'?, \nFalse
Can Female that is also GrandMother that is also Woman that is also Thing be considered a subcategory of 'Father'?, \nFalse
Can Female that is also GrandMother that is also Woman that is also Thing be considered a subcategory of 'Child'?, \nFalse
Can Female that is also GrandMother that is also Woman that is also Thing be considered a subcategory of 'Person'?, \nFalse
Can Female that is also GrandMother that is also Woman that is also Thing be considered a subcategory of 'Brother'?, \nFalse
Can Female that is also GrandMother that is also Woman that is also Thing be considered a subcategory of 'Parent'?, \nFalse
Can Female that is also GrandMother that is also Woman that is also Thing be considered a subcategory of 'Daughter'?, \nFalse
Can Female that is also GrandMother that is also Woman that is also Thing be considered a subcategory of 'Man'?, \nFalse
Can Female that is also GrandMother that is also Woman that is also Thing be considered a subcategory of 'Mother'?, \nTrue
Can GrandMother that is also Woman that is also Thing be considered a subcategory of 'Mother'?, \nFalse
Can Female that is also Woman that is also Thing be considered a subcategory of 'Mother'?, \nFalse
Can Female that is also GrandMother that is also Thing be considered a subcategory of 'Mother'?, \nFalse
Can GrandMother that is also OffSpring be considered a subcategory of 'Sex'?, \nFalse
Can Man that is also Parent be considered a subcategory of 'GrandParent'?, \nFalse
Can Child that is also Male be considered a subcategory of 'Brother'?, \nFalse
Can Brother that is also Person be considered a subcategory of 'OffSpring'?, \nFalse
Can Son that is also Woman be considered a subcategory of 'Brother'?, \nFalse
Can Child that is also OffSpring be considered a subcategory of 'Father'?, \nFalse
Can Female that is also Sister be considered a subcategory of 'GrandFather'?, \nFalse
Can Father that is also GrandMother be considered a subcategory of 'Person'?, \nFalse
Can GrandFather that is also Man be considered a subcategory of 'GrandParent'?, \nFalse
Can Parent that is also Son be considered a subcategory of 'Sister'?, \nFalse
Can something that hasChild some Male be considered a subcategory of 'Sibling'?, \nFalse
Can Child that is also Sex be considered a subcategory of 'GrandFather'?, \nFalse
Can something that hasParent some Sibling be considered a subcategory of 'Sibling'?, \nFalse
Can something that hasSibling some Female be considered a subcategory of 'Sibling'?, \nFalse
Can Son be considered a subcategory of 'something that hasParent some Daughter'?, \nTrue
Can GrandMother be considered a subcategory of 'something that hasParent some Daughter'?, \nFalse
Can Thing be considered a subcategory of 'something that hasParent some Daughter'?, \nFalse
Can GrandMother that is also something that (hasParent some Daughter) be considered a subcategory of 'GrandMother that is also something that (hasParent some Daughter)'?, \nFalse
Can Thing be considered a subcategory of 'GrandMother that is also something that (hasParent some Daughter)'?, \nFalse
Can Son be considered a subcategory of 'Son'?, \nFalse
Can Child be considered a subcategory of 'Son'?, \nFalse
Can Child be considered a subcategory of 'GrandMother that is also something that (hasParent some Daughter)'?, \nFalse
Can Female be considered a subcategory of 'Daughter'?, \nFalse
Can Child be considered a subcategory of 'Daughter'?, \nFalse
Can Brother be considered a subcategory of 'Daughter'?, \nFalse
Can GrandParent be considered a subcategory of 'Daughter'?, \nFalse
Can Sex be considered a subcategory of 'Daughter'?, \nFalse
Can Woman be considered a subcategory of 'Daughter'?, \nFalse
Can Son be considered a subcategory of 'GrandMother that is also Thing that is also something that (hasParent some Daughter)'?, \nFalse
Can Son be considered a subcategory of 'Child that is also GrandMother that is also something that (hasParent some Daughter)'?, \nFalse
Can Son be considered a subcategory of 'GrandMother that is also something that (hasParent some (Daughter that is also Thing))'?, \nTrue
Can Son be considered a subcategory of 'GrandMother that is also something that (hasParent some (Child that is also Daughter that is also Thing))'?, \nFalse
Can GrandMother that is also Thing that is also something that (hasParent some (Daughter that is also Thing)) be considered a subcategory of 'GrandMother that is also Thing that is also something that (hasParent some (Daughter that is also Thing))'?, \nFalse
Can Thing be considered a subcategory of 'GrandMother that is also Thing that is also something that (hasParent some (Daughter that is also Thing))'?, \nTrue
Can Thing be considered a subcategory of 'Thing'?, \nFalse
Can GrandMother be considered a subcategory of 'Daughter that is also Thing'?, \nFalse
Can Thing be considered a subcategory of 'Daughter that is also Thing'?, \nFalse
Can Son be considered a subcategory of 'Daughter that is also Thing'?, \nFalse
Can Female be considered a subcategory of 'Daughter that is also Thing'?, \nFalse
Can Father be considered a subcategory of 'Daughter that is also Thing'?, \nFalse
Can Child be considered a subcategory of 'Daughter that is also Thing'?, \nFalse
Can Person be considered a subcategory of 'Daughter that is also Thing'?, \nFalse
Can Brother be considered a subcategory of 'Daughter that is also Thing'?, \nFalse
Can Parent be considered a subcategory of 'Daughter that is also Thing'?, \nFalse
Can Man be considered a subcategory of 'Daughter that is also Thing'?, \nFalse
Can Mother be considered a subcategory of 'Daughter that is also Thing'?, \nFalse
Can GrandParent be considered a subcategory of 'Daughter that is also Thing'?, \nFalse
Can Sex be considered a subcategory of 'Daughter that is also Thing'?, \nI
Can Sister be considered a subcategory of 'Daughter that is also Thing'?, \nFalse
Can OffSpring be considered a subcategory of 'Daughter that is also Thing'?, \nFalse
Can Woman be considered a subcategory of 'Daughter that is also Thing'?, \nFalse
Can Male be considered a subcategory of 'Daughter that is also Thing'?, \nFalse
Can Sibling be considered a subcategory of 'Daughter that is also Thing'?, \nFalse
Can GrandFather be considered a subcategory of 'Daughter that is also Thing'?, \nFalse
Can Female that is also GrandMother that is also Parent that is also Woman that is also Thing that is also something that (hasParent some (Daughter that is also Thing)) be considered a subcategory of 'Female that is also GrandMother that is also Parent that is also Woman that is also Thing that is also something that (hasParent some (Daughter that is also Thing))'?, \nFalse
Can Female that is also GrandMother that is also Mother that is also Parent that is also Woman that is also Thing that is also something that (hasParent some (Daughter that is also Thing)) be considered a subcategory of 'Female that is also GrandMother that is also Mother that is also Parent that is also Woman that is also Thing that is also something that (hasParent some (Daughter that is also Thing))'?, \nFalse
Can Male be considered a subcategory of 'something that hasSibling some Daughter'?, \nFalse
Can something that hasParent some Parent be considered a subcategory of 'Male'?, \nFalse
Can Father be considered a subcategory of 'something that hasParent some Sister'?, \nFalse
Can GrandMother that is also Male be considered a subcategory of 'Sister'?, \nFalse
Can something that hasSex some Daughter be considered a subcategory of 'Sister'?, \nFalse
Can Woman be considered a subcategory of 'something that hasChild some Father'?, \nFalse
Can Person be considered a subcategory of 'something that hasSibling some GrandFather'?, \nFalse
Can Male be considered a subcategory of 'something that hasParent some GrandFather'?, \nFalse
Can Parent that is also Woman be considered a subcategory of 'GrandParent'?, \nFalse
Can Man that is also Mother be considered a subcategory of 'Daughter'?, \nFalse
Can Person be considered a subcategory of 'something that hasSex some Sibling'?, \nFalse
Can something that hasSibling some Sibling be considered a subcategory of 'Man'?, \nFalse
Can Man that is also OffSpring be considered a subcategory of 'Brother'?, \nFalse
Can Daughter be considered a subcategory of 'something that hasChild some Sibling'?, \nFalse
Can Father that is also Man be considered a subcategory of 'Daughter'?, \nFalse
Can something that hasChild some Son be considered a subcategory of 'Sex'?, \nFalse
Can Brother that is also Father be considered a subcategory of 'Sex'?, \nFalse
Can GrandParent be considered a subcategory of 'something that hasSibling some GrandFather'?, \nFalse
Can Father that is also Sibling be considered a subcategory of 'Sex'?, \nFalse
Can Father that is also GrandFather be considered a subcategory of 'Sex'?, \nFalse
Can Daughter be considered a subcategory of 'something that hasSibling some GrandMother'?, \nFalse
Can something that hasParent some Son be considered a subcategory of 'Man'?, \nFalse
Can GrandMother that is also Male be considered a subcategory of 'Man'?, \nFalse
Can Person that is also Sibling be considered a subcategory of 'Sister'?, \nFalse
Can GrandFather be considered a subcategory of 'Father'?, \nFalse
Can something that hasChild some Woman be considered a subcategory of 'Child'?, \nFalse
Can Sister be considered a subcategory of 'something that hasSibling some Son'?, \nFalse
Can Father that is also Sibling be considered a subcategory of 'Child'?, \nFalse
Can Father that is also Male be considered a subcategory of 'Daughter'?, \nFalse
Can Parent be considered a subcategory of 'something that hasSex some GrandMother'?, \nFalse
Can Female be considered a subcategory of 'something that hasParent some Father'?, \nFalse
Can Brother be considered a subcategory of 'something that hasSibling some Father'?, \nTrue
Can Brother be considered a subcategory of 'Father'?, \nFalse
Can Brother be considered a subcategory of 'Child'?, \nFalse
Can Brother be considered a subcategory of 'Man'?, \nFalse
Can Brother be considered a subcategory of 'GrandParent'?, \nFalse
Can Brother be considered a subcategory of 'Sex'?, \nFalse
Can Brother be considered a subcategory of 'Sister'?, \nFalse
Can Brother be considered a subcategory of 'OffSpring'?, \nFalse
Can Brother be considered a subcategory of 'Male'?, \nFalse
Can Brother be considered a subcategory of 'Sibling'?, \nTrue
Can Brother be considered a subcategory of 'Thing'?, \nFalse
Can Brother be considered a subcategory of 'Female'?, \nFalse
Can Brother be considered a subcategory of 'Mother'?, \nFalse
Can Brother be considered a subcategory of 'Woman'?, \nFalse
Can Brother be considered a subcategory of 'GrandFather'?, \nFalse
Can GrandParent be considered a subcategory of 'something that hasChild some GrandParent'?, \nFalse
Can Sex that is also Woman be considered a subcategory of 'OffSpring'?, \nI
Can Person that is also Sibling be considered a subcategory of 'OffSpring'?, \nFalse
Can something that hasParent some GrandParent be considered a subcategory of 'Child'?, \nFalse
Can something that hasSibling some Sibling be considered a subcategory of 'Child'?, \nFalse
Can Person be considered a subcategory of 'something that hasSex some Woman'?, \nFalse
Can Female be considered a subcategory of 'something that hasChild some OffSpring'?, \nFalse
Can Father that is also Female be considered a subcategory of 'Son'?, \nFalse
Can Child that is also Sex be considered a subcategory of 'Male'?, \nI
Can something that hasSex some Brother be considered a subcategory of 'Male'?, \nFalse
Can Brother be considered a subcategory of 'something that hasSibling some Daughter'?, \nFalse
Can something that hasSibling some OffSpring be considered a subcategory of 'Brother'?, \nFalse
