Parent and Person SubClassOf Father, \nFalse
Can Daughter be considered a subcategory of 'something that hasParent some Sex'?, \nFalse
Can Female that is also Sibling be considered a subcategory of 'Child'?, \nIn
Can Daughter that is also Woman be considered a subcategory of 'Mother'?, \nFalse
Can Father that is also Sister be considered a subcategory of 'Sibling'?, \nFalse
Can GrandFather that is also Man be considered a subcategory of 'Person'?, \nFalse
Can Child be considered a subcategory of 'something that hasParent some Female'?, \nFalse
Can GrandParent that is also Parent be considered a subcategory of 'Female'?, \nFalse
Can OffSpring that is also Parent be considered a subcategory of 'Sex'?, \nFalse
Can something that hasChild some Sibling be considered a subcategory of 'Daughter'?, \nIn
Can Brother that is also Daughter be considered a subcategory of 'Sex'?, \nFalse
Can Sex that is also Son be considered a subcategory of 'Child'?, \nFalse
Can Sibling be considered a subcategory of 'something that hasChild some Brother'?, \nMan
Can GrandMother that is also Sex be considered a subcategory of 'Mother'?, \nThe
Can Daughter be considered a subcategory of 'something that hasParent some Sister'?, \nIn
Can GrandParent that is also Mother be considered a subcategory of 'Sibling'?, \nFalse
Can Child that is also GrandFather be considered a subcategory of 'Father'?, \nFalse
Can Mother that is also Parent be considered a subcategory of 'GrandParent'?, \nFalse
Can OffSpring that is also Sibling be considered a subcategory of 'Person'?, \nIn
Can Child that is also Female be considered a subcategory of 'GrandParent'?, \nFalse
Can Father that is also GrandParent be considered a subcategory of 'Daughter'?, \nFalse
Can GrandMother be considered a subcategory of 'something that hasChild some Sex'?, \nIn
Can GrandMother that is also Man be considered a subcategory of 'Female'?, \nFalse
Can Child that is also Son be considered a subcategory of 'Brother'?, \nFalse
Can Male that is also Sister be considered a subcategory of 'Mother'?, \nFalse
Can Brother that is also Woman be considered a subcategory of 'Person'?, \nFalse
Can Female be considered a subcategory of 'something that hasChild some Sex'?, \nIn
Can Father that is also Sex be considered a subcategory of 'Child'?, \nThe
Can Sex be considered a subcategory of 'something that hasSibling some Male'?, \nFalse
Can OffSpring that is also Sibling be considered a subcategory of 'GrandMother'?, \nFalse
Can Daughter that is also Man be considered a subcategory of 'GrandFather'?, \nFalse
Can Male that is also Sex be considered a subcategory of 'GrandFather'?, \nFalse
Can Child that is also Person be considered a subcategory of 'GrandParent'?, \nFalse
Can Brother that is also Woman be considered a subcategory of 'GrandMother'?, \nFalse
Can Male that is also Woman be considered a subcategory of 'GrandMother'?, \nFalse
Can Sex that is also Sibling be considered a subcategory of 'Sister'?, \nThe
Can Brother that is also Female be considered a subcategory of 'Sister'?, \nFalse
Can something that hasSibling some Person be considered a subcategory of 'GrandFather'?, \nFalse
Can Daughter that is also Sister be considered a subcategory of 'Man'?, \nFalse
Can something that hasSex some GrandFather be considered a subcategory of 'GrandFather'?, \nIn
Can GrandMother that is also Parent be considered a subcategory of 'Male'?, \nFalse
Can something that hasParent some Father be considered a subcategory of 'Male'?, \nIn
Can Daughter that is also GrandMother be considered a subcategory of 'Mother'?, \nFalse
Can Son be considered a subcategory of 'something that hasChild some Parent'?, \nFalse
Can GrandFather that is also GrandParent be considered a subcategory of 'Woman'?, \nFalse
Can Person that is also Son be considered a subcategory of 'GrandParent'?, \nOW
Can GrandFather that is also GrandMother be considered a subcategory of 'Child'?, \nFalse
Can Brother that is also Father be considered a subcategory of 'Child'?, \nIn
Can Female that is also Sex be considered a subcategory of 'Child'?, \nFalse
Can Male that is also Sibling be considered a subcategory of 'Parent'?, \nFalse
Can Daughter that is also Person be considered a subcategory of 'Mother'?, \nFalse
Can Daughter be considered a subcategory of 'something that hasChild some Mother'?, \nIn
Can Female that is also Sister be considered a subcategory of 'Male'?, \nFalse
Can something that hasSex some Child be considered a subcategory of 'GrandMother'?, \nFalse
Can something that hasSibling some Parent be considered a subcategory of 'GrandMother'?, \nIn
Can Father that is also OffSpring be considered a subcategory of 'Female'?, \nFalse
Can GrandFather that is also Son be considered a subcategory of 'Female'?, \nFalse
Can something that hasParent some Man be considered a subcategory of 'Mother'?, \nIn
Can something that hasSibling some GrandParent be considered a subcategory of 'Sex'?, \nIn
Can GrandFather that is also Mother be considered a subcategory of 'OffSpring'?, \nFalse
Can Male that is also Sibling be considered a subcategory of 'Woman'?, \nFalse
Can Female be considered a subcategory of 'something that hasSex some OffSpring'?, \nFalse
Can something that hasChild some Parent be considered a subcategory of 'Child'?, \nIn
Can Sister be considered a subcategory of 'something that hasParent some Child'?, \nIn
Can Child that is also Daughter be considered a subcategory of 'Brother'?, \nFalse
Can something that hasSex some Sex be considered a subcategory of 'Mother'?, \nFalse
Can Daughter that is also Female be considered a subcategory of 'Woman'?, \nIn
Can Mother be considered a subcategory of 'OffSpring'?, \nFalse
Can Man be considered a subcategory of 'something that hasSibling some Son'?, \nIn
Can Person that is also Sibling be considered a subcategory of 'Son'?, \nFalse
Can Father that is also Mother be considered a subcategory of 'Parent'?, \nFalse
Can GrandParent that is also Parent be considered a subcategory of 'Woman'?, \nIn
Can something that hasParent some Sibling be considered a subcategory of 'OffSpring'?, \nIn
Can GrandMother that is also Sex be considered a subcategory of 'Child'?, \nFalse
Can GrandParent be considered a subcategory of 'something that hasSex some Parent'?, \nFalse
Can Sibling be considered a subcategory of 'something that hasChild some Male'?, \nIn
Can GrandFather that is also Sex be considered a subcategory of 'OffSpring'?, \nFalse
Can Person that is also Woman be considered a subcategory of 'Female'?, \nFalse
Can Sister be considered a subcategory of 'something that hasParent some Sister'?, \nIn
Can Man that is also Sister be considered a subcategory of 'Sibling'?, \nIn
Can GrandParent that is also Person be considered a subcategory of 'GrandMother'?, \nFalse
Can Female that is also OffSpring be considered a subcategory of 'GrandMother'?, \nFalse
Can Child be considered a subcategory of 'something that hasSibling some Son'?, \nFalse
Can GrandFather that is also Man be considered a subcategory of 'Parent'?, \nFalse
Can Sibling be considered a subcategory of 'something that hasChild some Mother'?, \nIn
Can Female that is also GrandMother be considered a subcategory of 'Sex'?, \nFalse
Can Father that is also Mother be considered a subcategory of 'Person'?, \nFalse
Can GrandFather be considered a subcategory of 'something that hasSex some Mother'?, \nIn
Can Brother that is also Male be considered a subcategory of 'Woman'?, \nFalse
Can something that hasSex some Woman be considered a subcategory of 'Woman'?, \nFalse
Can Brother that is also Father be considered a subcategory of 'Female'?, \nFalse
Can Sex that is also Woman be considered a subcategory of 'Female'?, \nFalse
Can Man be considered a subcategory of 'Brother'?, \nFalse
Can GrandParent that is also Person be considered a subcategory of 'Mother'?, \nFalse
Can something that hasChild some Child be considered a subcategory of 'OffSpring'?, \nIn
Can Sister be considered a subcategory of 'Brother'?, \nFalse
Can Male that is also OffSpring be considered a subcategory of 'Son'?, \nFalse
Can Child be considered a subcategory of 'something that hasParent some Son'?, \nIn
Can Daughter that is also Sibling be considered a subcategory of 'Male'?, \nFalse
Can Mother that is also Son be considered a subcategory of 'Child'?, \nFalse
Can Brother that is also Female be considered a subcategory of 'Person'?, \nFalse
Can Father that is also GrandFather be considered a subcategory of 'Sibling'?, \nFalse
Can something that hasSex some Man be considered a subcategory of 'Sex'?, \nIn
Can something that hasSibling some GrandParent be considered a subcategory of 'Female'?, \nIn
Can Child that is also Woman be considered a subcategory of 'GrandParent'?, \nFalse
Can Male that is also Parent be considered a subcategory of 'GrandFather'?, \nFalse
Can Male that is also Person be considered a subcategory of 'Sibling'?, \nFalse
Can Daughter be considered a subcategory of 'something that hasSex some Sibling'?, \nIn
Can Sibling that is also Sister be considered a subcategory of 'Daughter'?, \nFalse
Can Child that is also Daughter be considered a subcategory of 'Mother'?, \nFalse
Can Mother be considered a subcategory of 'something that hasChild some Brother'?, \nFalse
Can Sister be considered a subcategory of 'something that hasSex some Father'?, \nFalse
Can something that hasSibling some Person be considered a subcategory of 'OffSpring'?, \nIn
Can GrandFather be considered a subcategory of 'Brother'?, \nFalse
Can Man that is also Sex be considered a subcategory of 'Father'?, \nFalse
Can GrandParent that is also Parent be considered a subcategory of 'Sister'?, \nFalse
Can something that hasChild some Person be considered a subcategory of 'Man'?, \nIn
Can Daughter that is also GrandMother be considered a subcategory of 'Father'?, \nFalse
Can OffSpring that is also Sibling be considered a subcategory of 'GrandParent'?, \nFalse
Can Female that is also Son be considered a subcategory of 'GrandFather'?, \nFalse
Can Daughter be considered a subcategory of 'something that hasParent some GrandMother'?, \nFalse
Can Sex be considered a subcategory of 'something that hasSibling some GrandMother'?, \nFalse
Can GrandMother be considered a subcategory of 'something that hasChild some Man'?, \nIn
Can Mother that is also Parent be considered a subcategory of 'GrandFather'?, \nFalse
Can something that hasParent some OffSpring be considered a subcategory of 'Man'?, \nIn
Can something that hasSex some Sex be considered a subcategory of 'Child'?, \nFalse
Can Man that is also OffSpring be considered a subcategory of 'GrandParent'?, \nFalse
Can Person that is also Woman be considered a subcategory of 'Parent'?, \nFalse
Can Man that is also Sex be considered a subcategory of 'Woman'?, \nI
Can GrandFather that is also Woman be considered a subcategory of 'OffSpring'?, \nFalse
Can Father that is also GrandMother be considered a subcategory of 'Daughter'?, \nFalse
Can Son be considered a subcategory of 'Sister'?, \nFalse
Can Male be considered a subcategory of 'something that hasSibling some Man'?, \nFalse
Can Male that is also Sibling be considered a subcategory of 'GrandMother'?, \nFalse
Can GrandParent that is also Woman be considered a subcategory of 'Man'?, \nFalse
Can something that hasSibling some Sister be considered a subcategory of 'Sex'?, \nIn
Can something that hasChild some OffSpring be considered a subcategory of 'Sex'?, \nFalse
Can GrandMother be considered a subcategory of 'something that hasChild some Son'?, \nFalse
Can Child that is also Son be considered a subcategory of 'Male'?, \nFalse
Can Sex that is also Sibling be considered a subcategory of 'OffSpring'?, \nFalse
Can something that hasSibling some GrandParent be considered a subcategory of 'Son'?, \nIn
Can Father that is also Sibling be considered a subcategory of 'Son'?, \nFalse
Can something that hasParent some Man be considered a subcategory of 'Child'?, \nIn
Can something that hasSibling some Parent be considered a subcategory of 'Father'?, \nIn
Can Mother be considered a subcategory of 'something that hasChild some Parent'?, \nIn
Can GrandFather that is also Son be considered a subcategory of 'Woman'?, \nFalse
Can Child that is also Daughter be considered a subcategory of 'OffSpring'?, \nIn
Can GrandParent that is also Woman be considered a subcategory of 'Sex'?, \nFalse
Can Child that is also Daughter be considered a subcategory of 'Female'?, \nFalse
Can GrandMother that is also Man be considered a subcategory of 'GrandParent'?, \nIn
Can Brother that is also Man be considered a subcategory of 'Sex'?, \nFalse
Can GrandParent that is also Son be considered a subcategory of 'OffSpring'?, \nFalse
Can Male that is also Sibling be considered a subcategory of 'OffSpring'?, \nFalse
Can Parent that is also Sex be considered a subcategory of 'Daughter'?, \nFalse
Can Brother that is also Man be considered a subcategory of 'Daughter'?, \nFalse
Can Father be considered a subcategory of 'something that hasSex some Mother'?, \nIn
Can GrandFather be considered a subcategory of 'something that hasChild some Sex'?, \nFalse
Can something that hasParent some Son be considered a subcategory of 'Brother'?, \nIn
Can something that hasSibling some Male be considered a subcategory of 'Mother'?, \nFalse
Can Brother that is also Sex be considered a subcategory of 'Woman'?, \nI
Can Person that is also Sibling be considered a subcategory of 'Child'?, \nFalse
Can Daughter that is also Female be considered a subcategory of 'Son'?, \nFalse
Can Brother that is also Man be considered a subcategory of 'Father'?, \nFalse
Can GrandParent that is also Woman be considered a subcategory of 'Sister'?, \nFalse
Can Child that is also Sibling be considered a subcategory of 'Man'?, \nFalse
Can Female that is also Parent be considered a subcategory of 'Father'?, \nFalse
Can something that hasSibling some Male be considered a subcategory of 'GrandParent'?, \nThe
Can Sister be considered a subcategory of 'something that hasSex some GrandParent'?, \nFalse
Can something that hasSex some Female be considered a subcategory of 'Person'?, \nFalse
Can Daughter that is also Female be considered a subcategory of 'Man'?, \nFalse
Can Mother that is also Sex be considered a subcategory of 'Daughter'?, \nFalse
Can GrandFather be considered a subcategory of 'something that hasChild some GrandFather'?, \nIn
Can GrandMother that is also Person be considered a subcategory of 'Man'?, \nFalse
Can Parent be considered a subcategory of 'something that hasSibling some Person'?, \nFalse
Can something that hasChild some Sister be considered a subcategory of 'Person'?, \nThe
Can Brother that is also OffSpring be considered a subcategory of 'Sibling'?, \nIn
Can Child be considered a subcategory of 'something that hasParent some Sibling'?, \nIn
Can Daughter that is also Person be considered a subcategory of 'Brother'?, \nFalse
Can Man be considered a subcategory of 'something that hasSex some OffSpring'?, \nFalse
Can Person be considered a subcategory of 'something that hasChild some Brother'?, \nFalse
Can Parent be considered a subcategory of 'something that hasParent some Son'?, \nIn
Can GrandFather be considered a subcategory of 'something that hasSex some Male'?, \nFalse
Can Brother that is also Child be considered a subcategory of 'Sex'?, \nFalse
Can GrandParent that is also Mother be considered a subcategory of 'OffSpring'?, \nIn
Can OffSpring that is also Sibling be considered a subcategory of 'Brother'?, \nIn
Can GrandMother that is also Sister be considered a subcategory of 'Woman'?, \nFalse
Can Father that is also Female be considered a subcategory of 'OffSpring'?, \nFalse
Can Father that is also Son be considered a subcategory of 'Child'?, \nFalse
Can GrandFather that is also Male be considered a subcategory of 'Child'?, \nFalse
Can Sex that is also Son be considered a subcategory of 'Parent'?, \nFalse
Can Brother that is also GrandMother be considered a subcategory of 'Male'?, \nFalse
Can OffSpring that is also Son be considered a subcategory of 'GrandFather'?, \nFalse
Can Parent be considered a subcategory of 'something that hasChild some Man'?, \nIn
Can Female that is also Sex be considered a subcategory of 'GrandParent'?, \nFalse
Can Mother that is also OffSpring be considered a subcategory of 'GrandFather'?, \nFalse
Can Brother that is also GrandFather be considered a subcategory of 'Person'?, \nIn
Can something that hasParent some GrandMother be considered a subcategory of 'Father'?, \nIn
Can something that hasSibling some Father be considered a subcategory of 'Daughter'?, \nIn
Can Brother that is also Parent be considered a subcategory of 'GrandParent'?, \nFalse
Can Man that is also Woman be considered a subcategory of 'Sex'?, \nFalse
Can Sibling that is also Woman be considered a subcategory of 'Person'?, \nFalse
Can something that hasChild some Son be considered a subcategory of 'Daughter'?, \nIn
Can Male that is also Sister be considered a subcategory of 'Daughter'?, \nFalse
Can GrandParent that is also Male be considered a subcategory of 'Female'?, \nFalse
Can something that hasSex some Sibling be considered a subcategory of 'Female'?, \nIn
Can GrandMother that is also Person be considered a subcategory of 'Brother'?, \nFalse
Can Child that is also Father be considered a subcategory of 'Parent'?, \nFalse
Can Father that is also Son be considered a subcategory of 'GrandMother'?, \nFalse
Can GrandParent that is also Parent be considered a subcategory of 'Man'?, \nFalse
Can Man that is also Sibling be considered a subcategory of 'Father'?, \nFalse
Can GrandMother that is also Woman be considered a subcategory of 'GrandFather'?, \nFalse
Can Child that is also Father be considered a subcategory of 'Man'?, \nFalse
Can Female that is also Woman be considered a subcategory of 'Person'?, \nFalse
Can Male be considered a subcategory of 'GrandParent'?, \nFalse
Can Female that is also GrandParent be considered a subcategory of 'Sister'?, \nFalse
Can Brother that is also Sibling be considered a subcategory of 'Sister'?, \nFalse
Can GrandMother that is also Sister be considered a subcategory of 'GrandFather'?, \nFalse
Can Daughter that is also GrandFather be considered a subcategory of 'Man'?, \nFalse
Can Father be considered a subcategory of 'something that hasSibling some Brother'?, \nFalse
Can GrandParent be considered a subcategory of 'Parent'?, \nFalse
Can Sister that is also Son be considered a subcategory of 'Male'?, \nFalse
Can something that hasParent some Person be considered a subcategory of 'Son'?, \nFalse
Can something that hasSibling some Woman be considered a subcategory of 'Woman'?, \nIn
Can Mother that is also Sibling be considered a subcategory of 'Male'?, \nFalse
Can Female that is also Woman be considered a subcategory of 'Male'?, \nFalse
Can Father be considered a subcategory of 'something that hasSex some GrandMother'?, \nFalse
Can Female that is also GrandParent be considered a subcategory of 'Parent'?, \nIn
Can Man be considered a subcategory of 'something that hasParent some Person'?, \nIn
Can GrandFather that is also Sister be considered a subcategory of 'Person'?, \nFalse
Can Sibling that is also Sister be considered a subcategory of 'Parent'?, \nIn
Can Father that is also Mother be considered a subcategory of 'GrandMother'?, \nFalse
Can Daughter that is also OffSpring be considered a subcategory of 'Sister'?, \nFalse
Can Sex that is also Son be considered a subcategory of 'Sister'?, \nFalse
Can GrandParent that is also Mother be considered a subcategory of 'Brother'?, \nFalse
Can Sister be considered a subcategory of 'something that hasChild some Parent'?, \nIn
Can GrandFather that is also Sibling be considered a subcategory of 'Son'?, \nFalse
Can Female that is also Sibling be considered a subcategory of 'Son'?, \nFalse
Can Father that is also GrandParent be considered a subcategory of 'Child'?, \nFalse
Can Woman be considered a subcategory of 'something that hasChild some OffSpring'?, \nFalse
Can Child that is also GrandMother be considered a subcategory of 'Parent'?, \nFalse
Can Female that is also Mother be considered a subcategory of 'Woman'?, \nFalse
Can Mother be considered a subcategory of 'something that hasSex some OffSpring'?, \nFalse
Can Brother that is also Sister be considered a subcategory of 'Child'?, \nFalse
Can Man that is also Woman be considered a subcategory of 'Child'?, \nFalse
Can something that hasSex some Father be considered a subcategory of 'Parent'?, \nFalse
Can something that hasChild some Sex be considered a subcategory of 'Male'?, \nIn
Can GrandParent be considered a subcategory of 'Brother'?, \nFalse
Can GrandMother that is also Son be considered a subcategory of 'Parent'?, \nFalse
Can Person be considered a subcategory of 'something that hasSibling some Son'?, \nFalse
Can Man that is also Sister be considered a subcategory of 'Brother'?, \nFalse
Can Mother be considered a subcategory of 'something that hasParent some Sibling'?, \nIn
Can OffSpring be considered a subcategory of 'something that hasSibling some Person'?, \nFalse
Can Person that is also Sex be considered a subcategory of 'Daughter'?, \nFalse
Can something that hasChild some Mother be considered a subcategory of 'Mother'?, \nIn
Can GrandMother that is also OffSpring be considered a subcategory of 'Sex'?, \nFalse
Can Child that is also Sister be considered a subcategory of 'Person'?, \nFalse
Can Man that is also Parent be considered a subcategory of 'GrandParent'?, \nFalse
Can GrandFather that is also Sex be considered a subcategory of 'Woman'?, \nFalse
Can Man that is also Son be considered a subcategory of 'Female'?, \nFalse
Can Child that is also Male be considered a subcategory of 'Brother'?, \nFalse
Can something that hasParent some Parent be considered a subcategory of 'Mother'?, \nIn
Can Brother that is also Person be considered a subcategory of 'OffSpring'?, \nFalse
Can Son that is also Woman be considered a subcategory of 'Brother'?, \nFalse
Can Child that is also OffSpring be considered a subcategory of 'Father'?, \nFalse
Can Female that is also Sister be considered a subcategory of 'GrandFather'?, \nFalse
Can Father that is also GrandMother be considered a subcategory of 'Person'?, \nFalse
Can GrandFather that is also Man be considered a subcategory of 'GrandParent'?, \nIn
Can Parent that is also Son be considered a subcategory of 'Sister'?, \nFalse
Can something that hasChild some Male be considered a subcategory of 'Sibling'?, \nIn
Can Child that is also Sex be considered a subcategory of 'GrandFather'?, \nFalse
Can OffSpring that is also Parent be considered a subcategory of 'Female'?, \nIn
Can Daughter be considered a subcategory of 'GrandFather'?, \nFalse
Can something that hasParent some Sibling be considered a subcategory of 'Sibling'?, \nIn
Can something that hasSibling some Female be considered a subcategory of 'Sibling'?, \nIn
Can Son be considered a subcategory of 'something that hasParent some Daughter'?, \nIn
Can Male be considered a subcategory of 'something that hasSibling some Daughter'?, \nIn
Can something that hasParent some Parent be considered a subcategory of 'Male'?, \nFalse
Can GrandMother be considered a subcategory of 'something that hasParent some GrandMother'?, \nIn
Can Father be considered a subcategory of 'something that hasParent some Sister'?, \nMan
Can GrandMother that is also Person be considered a subcategory of 'Parent'?, \nFalse
Can Sex that is also Sister be considered a subcategory of 'Parent'?, \nFalse
Can GrandMother that is also Male be considered a subcategory of 'Sister'?, \nFalse
Can something that hasSex some Daughter be considered a subcategory of 'Sister'?, \nIn
Can Woman be considered a subcategory of 'something that hasChild some Father'?, \nFalse
Can Person be considered a subcategory of 'something that hasSibling some GrandFather'?, \nIn
Can something that hasSibling some Sex be considered a subcategory of 'GrandMother'?, \nFalse
Can Brother that is also Sister be considered a subcategory of 'GrandMother'?, \nFalse
Can Male be considered a subcategory of 'something that hasParent some GrandFather'?, \nThe
Can Brother that is also Child be considered a subcategory of 'Person'?, \nFalse
Can Parent that is also Woman be considered a subcategory of 'GrandParent'?, \nFalse
Can Man that is also Mother be considered a subcategory of 'Daughter'?, \nFalse
Can Person be considered a subcategory of 'something that hasSex some Sibling'?, \nFalse
Can something that hasSibling some Sibling be considered a subcategory of 'Man'?, \nFalse
Can Man that is also OffSpring be considered a subcategory of 'Brother'?, \nFalse
Can Daughter be considered a subcategory of 'something that hasChild some Sibling'?, \nIn
Can Mother that is also Sister be considered a subcategory of 'Person'?, \nFalse
Can GrandMother that is also Male be considered a subcategory of 'Female'?, \nFalse
Can Father that is also Man be considered a subcategory of 'Daughter'?, \nFalse
Can something that hasChild some Son be considered a subcategory of 'Sex'?, \nIn
Can Brother that is also Father be considered a subcategory of 'Sex'?, \nFalse
Can GrandParent be considered a subcategory of 'something that hasSibling some GrandFather'?, \nIn
Can Father that is also Sibling be considered a subcategory of 'Sex'?, \nFalse
Can Sex that is also Sister be considered a subcategory of 'GrandMother'?, \nFalse
Can Father that is also GrandFather be considered a subcategory of 'Sex'?, \nFalse
Can Daughter be considered a subcategory of 'something that hasSibling some GrandMother'?, \nIn
Can something that hasParent some Son be considered a subcategory of 'Man'?, \nIn
Can GrandMother that is also Male be considered a subcategory of 'Man'?, \nFalse
Can Daughter that is also Man be considered a subcategory of 'Child'?, \nIn
Can Person that is also Sibling be considered a subcategory of 'Sister'?, \nIn
Can Daughter that is also Female be considered a subcategory of 'Person'?, \nIn
Can GrandFather be considered a subcategory of 'Father'?, \nIn
Can Father that is also Person be considered a subcategory of 'Mother'?, \nFalse
Can something that hasChild some Woman be considered a subcategory of 'Child'?, \nIn
Can Sister be considered a subcategory of 'something that hasSibling some Son'?, \nFalse
Can OffSpring that is also Son be considered a subcategory of 'Parent'?, \nIn
Can Male that is also Son be considered a subcategory of 'Parent'?, \nIn
Can Father that is also Sibling be considered a subcategory of 'Child'?, \nIn
Can Father that is also Male be considered a subcategory of 'Daughter'?, \nFalse
Can Parent be considered a subcategory of 'something that hasSex some GrandMother'?, \nFalse
Can Sister be considered a subcategory of 'something that hasParent some Mother'?, \nIn
Can Female be considered a subcategory of 'something that hasParent some Father'?, \nIn
Can Brother be considered a subcategory of 'something that hasSibling some Father'?, \nIn
Can GrandParent be considered a subcategory of 'something that hasChild some GrandParent'?, \nIn
Can Daughter that is also Person be considered a subcategory of 'GrandParent'?, \nIn
Can Sex that is also Woman be considered a subcategory of 'OffSpring'?, \nFalse
Can Person that is also Sibling be considered a subcategory of 'OffSpring'?, \nIn
Can something that hasParent some GrandParent be considered a subcategory of 'Child'?, \nIn
Can something that hasSibling some Sibling be considered a subcategory of 'Child'?, \nIn
Can Male be considered a subcategory of 'something that hasParent some Mother'?, \nIn
Can Person be considered a subcategory of 'something that hasSex some Woman'?, \nFalse
Can Female be considered a subcategory of 'something that hasChild some OffSpring'?, \nIn
Can Father that is also Female be considered a subcategory of 'Son'?, \nFalse
Can GrandFather that is also Mother be considered a subcategory of 'Woman'?, \nFalse
Can Child that is also Sex be considered a subcategory of 'Male'?, \nFalse
Can something that hasSex some Brother be considered a subcategory of 'Male'?, \nIn
Can GrandMother that is also Mother be considered a subcategory of 'Parent'?, \nIn
Can Father that is also Woman be considered a subcategory of 'Parent'?, \nFalse
Can Brother be considered a subcategory of 'something that hasSibling some Daughter'?, \nIn
Can Daughter that is also Parent be considered a subcategory of 'Female'?, \nFalse
Can Sex be considered a subcategory of 'something that hasParent some Female'?, \nFalse
Can something that hasSibling some OffSpring be considered a subcategory of 'Brother'?, \nFalse
Can Father be considered a subcategory of 'something that hasChild some Mother'?, \nFalse
