Parent and Person SubClassOf Father, True
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also Sibling that is also Son that is also Woman that is also something that (hasSex some (Father that is also Female that is also GrandMother that is also Sister that is also Son))'?, \nTrue
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also Sibling that is also Son that is also Woman that is also something that (hasSex some (Child that is also Father that is also Female that is also GrandMother that is also Sister that is also Son))'?, \nFalse
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also Sibling that is also Son that is also Woman that is also something that (hasSex some (Father that is also Female that is also GrandMother that is also Person that is also Sister that is also Son))'?, \nFalse
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also Sibling that is also Son that is also Woman that is also something that (hasSex some (Brother that is also Father that is also Female that is also GrandMother that is also Sister that is also Son))'?, \nTrue
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also Sibling that is also Son that is also Woman that is also something that (hasSex some (Brother that is also Father that is also Female that is also GrandMother that is also Parent that is also Sister that is also Son))'?, \nFalse
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also Sibling that is also Son that is also Woman that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Sister that is also Son))'?, \nTrue
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also Sibling that is also Son that is also Woman that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Mother that is also Sister that is also Son))'?, \nTrue
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also Sibling that is also Son that is also Woman that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also GrandParent that is also Mother that is also Sister that is also Son))'?, \nFalse
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also Sibling that is also Son that is also Woman that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Mother that is also Sex that is also Sister that is also Son))'?, \nFalse
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also Sibling that is also Son that is also Woman that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Mother that is also OffSpring that is also Sister that is also Son))'?, \nFalse
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also Sibling that is also Son that is also Woman that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Mother that is also Sister that is also Son that is also Woman))'?, \nFalse
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also Sibling that is also Son that is also Woman that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also Mother that is also Sister that is also Son))'?, \nTrue
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also Sibling that is also Son that is also Woman that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also Mother that is also Sibling that is also Sister that is also Son))'?, \nFalse
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also Sibling that is also Son that is also Woman that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also Male that is also Mother that is also Sister that is also Son))'?, \nFalse
Can Daughter that is also GrandMother that is also Sibling that is also Son that is also Woman that is also Thing that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also Mother that is also Sister that is also Son)) be considered a subcategory of 'Daughter that is also GrandMother that is also Sibling that is also Son that is also Woman that is also Thing that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also Mother that is also Sister that is also Son))'?, \nFalse
Can Brother be considered a subcategory of 'Daughter that is also GrandMother that is also Sibling that is also Son that is also Woman that is also Thing that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also Mother that is also Sister that is also Son))'?, \nTrue
Can Brother be considered a subcategory of 'Thing'?, True
Can Thing be considered a subcategory of 'Brother'?, True
Can Brother be considered a subcategory of 'Son'?, True
Can Brother be considered a subcategory of 'Female'?, True
Can Female be considered a subcategory of 'Brother'?, False
Can Female be considered a subcategory of 'Daughter that is also GrandMother that is also Sibling that is also Son that is also Woman that is also Thing that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also Mother that is also Sister that is also Son))'?, \nFalse
Can Brother be considered a subcategory of 'Father'?, True
Can Father be considered a subcategory of 'Brother'?, True
Can Brother be considered a subcategory of 'Child'?, True
Can Child be considered a subcategory of 'Brother'?, True
Can Brother be considered a subcategory of 'Person'?, True
Can Brother be considered a subcategory of 'Brother'?, True
Can Brother be considered a subcategory of 'Parent'?, True
Can Brother be considered a subcategory of 'Daughter'?, True
Can Daughter be considered a subcategory of 'Brother'?, True
Can Brother be considered a subcategory of 'Man'?, True
Can Man be considered a subcategory of 'Brother'?, True
Can Brother be considered a subcategory of 'Mother'?, True
Can Mother be considered a subcategory of 'Brother'?, True
Can Brother be considered a subcategory of 'GrandParent'?, True
Can Brother be considered a subcategory of 'Sex'?, False.
Can Brother be considered a subcategory of 'Sister'?, True
Can Sister be considered a subcategory of 'Brother'?, True
Can Brother be considered a subcategory of 'OffSpring'?, True
Can OffSpring be considered a subcategory of 'Brother'?, True
Can Brother be considered a subcategory of 'Woman'?, False.
Can Brother be considered a subcategory of 'Male'?, True
Can Male be considered a subcategory of 'Brother'?, True
Can Brother be considered a subcategory of 'Sibling'?, True
Can Sibling be considered a subcategory of 'Brother'?, True
Can Brother be considered a subcategory of 'GrandFather'?, True
Can GrandFather be considered a subcategory of 'Brother'?, True
Can Daughter that is also Female that is also GrandMother that is also Sibling that is also Son that is also Woman that is also Thing that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also Mother that is also Sister that is also Son)) be considered a subcategory of 'Daughter that is also Female that is also GrandMother that is also Sibling that is also Son that is also Woman that is also Thing that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also Mother that is also Sister that is also Son))'?, True.
Can Brother be considered a subcategory of 'Daughter that is also Father that is also Female that is also GrandMother that is also Sibling that is also Son that is also Woman that is also Thing that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also Mother that is also Sister that is also Son))'?, \nFalse
Can Brother be considered a subcategory of 'Child that is also Daughter that is also Female that is also GrandMother that is also Sibling that is also Son that is also Woman that is also Thing that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also Mother that is also Sister that is also Son))'?, \nFalse
Can Brother be considered a subcategory of 'Daughter that is also Female that is also GrandMother that is also Person that is also Sibling that is also Son that is also Woman that is also Thing that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also Mother that is also Sister that is also Son))'?, \nFalse
Can Brother be considered a subcategory of 'Daughter that is also Female that is also GrandMother that is also Parent that is also Sibling that is also Son that is also Woman that is also Thing that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also Mother that is also Sister that is also Son))'?, \nFalse
Can Brother be considered a subcategory of 'Daughter that is also Female that is also GrandMother that is also Man that is also Sibling that is also Son that is also Woman that is also Thing that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also Mother that is also Sister that is also Son))'?, \nFalse
Can Brother be considered a subcategory of 'Daughter that is also Female that is also GrandMother that is also Mother that is also Sibling that is also Son that is also Woman that is also Thing that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also Mother that is also Sister that is also Son))'?, \nFalse
Can Brother be considered a subcategory of 'Daughter that is also Female that is also GrandMother that is also GrandParent that is also Sibling that is also Son that is also Woman that is also Thing that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also Mother that is also Sister that is also Son))'?, \nFalse
Can Brother be considered a subcategory of 'Daughter that is also Female that is also GrandMother that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also Mother that is also Sister that is also Son))'?, \nFalse
Can Brother be considered a subcategory of 'Daughter that is also Female that is also GrandMother that is also OffSpring that is also Sibling that is also Son that is also Woman that is also Thing that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also Mother that is also Sister that is also Son))'?, \nTrue
Can Brother be considered a subcategory of 'Daughter that is also Female that is also GrandMother that is also Male that is also OffSpring that is also Sibling that is also Son that is also Woman that is also Thing that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also Mother that is also Sister that is also Son))'?, \nFalse
Can Brother be considered a subcategory of 'Daughter that is also Female that is also GrandFather that is also GrandMother that is also OffSpring that is also Sibling that is also Son that is also Woman that is also Thing that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also Mother that is also Sister that is also Son))'?, \nFalse
Can Brother be considered a subcategory of 'Daughter that is also Female that is also GrandMother that is also OffSpring that is also Sibling that is also Son that is also Woman that is also Thing that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also Mother that is also Sister that is also Son that is also Thing))'?, True
Can Brother be considered a subcategory of 'Daughter that is also Female that is also GrandMother that is also OffSpring that is also Sibling that is also Son that is also Woman that is also Thing that is also something that (hasSex some (Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also Mother that is also Sister that is also Son that is also Thing))'?, \nFalse
Can Brother be considered a subcategory of 'Daughter that is also Female that is also GrandMother that is also OffSpring that is also Sibling that is also Son that is also Woman that is also Thing that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also Mother that is also Person that is also Sister that is also Son that is also Thing))'?, \nTrue
Can Brother be considered a subcategory of 'Daughter that is also Female that is also GrandMother that is also OffSpring that is also Sibling that is also Son that is also Woman that is also Thing that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also Mother that is also Parent that is also Person that is also Sister that is also Son that is also Thing))'?, \nFalse
Can Brother be considered a subcategory of 'Daughter that is also Female that is also GrandMother that is also OffSpring that is also Sibling that is also Son that is also Woman that is also Thing that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also Man that is also Mother that is also Person that is also Sister that is also Son that is also Thing))'?, True.
Can Brother be considered a subcategory of 'Daughter that is also Female that is also GrandMother that is also OffSpring that is also Sibling that is also Son that is also Woman that is also Thing that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also Person that is also Sister that is also Son that is also Thing))'?, \nFalse
Can Brother be considered a subcategory of 'Daughter that is also Female that is also GrandMother that is also OffSpring that is also Sibling that is also Son that is also Woman that is also Thing that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also Man that is also Mother that is also OffSpring that is also Person that is also Sister that is also Son that is also Thing))'?, \nFalse
Can Brother be considered a subcategory of 'Daughter that is also Female that is also GrandMother that is also OffSpring that is also Sibling that is also Son that is also Woman that is also Thing that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also Man that is also Mother that is also Person that is also Sibling that is also Sister that is also Son that is also Thing))'?, True
Can Brother be considered a subcategory of 'Daughter that is also Female that is also GrandMother that is also OffSpring that is also Sibling that is also Son that is also Woman that is also Thing that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also Male that is also Man that is also Mother that is also Person that is also Sibling that is also Sister that is also Son that is also Thing))'?, \nTrue
Can Daughter that is also Father that is also Female that is also GrandMother that is also OffSpring that is also Sibling that is also Son that is also Woman that is also Thing that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also Male that is also Man that is also Mother that is also Person that is also Sibling that is also Sister that is also Son that is also Thing)) be considered a subcategory of 'Daughter that is also Father that is also Female that is also GrandMother that is also OffSpring that is also Sibling that is also Son that is also Woman that is also Thing that is also something that (hasSex some (Brother that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also Male that is also Man that is also Mother that is also Person that is also Sibling that is also Sister that is also Son that is also Thing))'?, True.
Can Parent be considered a subcategory of 'something that hasChild some Sister'?, True
Can GrandMother be considered a subcategory of 'something that hasChild some Sister'?, True
Can GrandMother that is also something that (hasChild some Sister) be considered a subcategory of 'GrandMother that is also something that (hasChild some Sister)'?, \nTrue
Can GrandMother be considered a subcategory of 'GrandMother that is also Thing that is also something that (hasChild some Sister)'?, \nFalse
Can GrandMother be considered a subcategory of 'GrandMother that is also Son that is also something that (hasChild some Sister)'?, \nFalse
Can GrandMother be considered a subcategory of 'Female that is also GrandMother that is also something that (hasChild some Sister)'?, \nFalse
Can GrandMother be considered a subcategory of 'Father that is also GrandMother that is also something that (hasChild some Sister)'?, \nFalse
Can GrandMother be considered a subcategory of 'Child that is also GrandMother that is also something that (hasChild some Sister)'?, \nFalse
Can GrandMother be considered a subcategory of 'GrandMother that is also Person that is also something that (hasChild some Sister)'?, \nFalse
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also something that (hasChild some Sister)'?, \nFalse
Can GrandMother be considered a subcategory of 'GrandMother that is also Parent that is also something that (hasChild some Sister)'?, True
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also Parent that is also something that (hasChild some Sister)'?, \nTrue
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also Mother that is also Parent that is also something that (hasChild some Sister)'?, \nTrue
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also something that (hasChild some Sister)'?, \nTrue
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Sex that is also something that (hasChild some Sister)'?, \nTrue
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Sex that is also Sister that is also something that (hasChild some Sister)'?, \nTrue
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also GrandParent that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sister that is also something that (hasChild some Sister)'?, \nFalse
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Sex that is also Sister that is also Woman that is also something that (hasChild some Sister)'?, \nTrue
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also Parent that is also Sex that is also Sister that is also Woman that is also something that (hasChild some Sister)'?, \nFalse
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Sex that is also Sibling that is also Sister that is also Woman that is also something that (hasChild some Sister)'?, \nTrue
Can GrandMother be considered a subcategory of 'Daughter that is also GrandFather that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Sex that is also Sibling that is also Sister that is also Woman that is also something that (hasChild some Sister)'?, \nFalse
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Sex that is also Sibling that is also Sister that is also Woman that is also something that (hasChild some (GrandMother that is also Sister))'?, \nTrue
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Sex that is also Sibling that is also Sister that is also Woman that is also something that (hasChild some (GrandMother that is also Sister that is also Thing))'?, \nFalse
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Sex that is also Sibling that is also Sister that is also Woman that is also something that (hasChild some (GrandMother that is also Sister that is also Son))'?, \nTrue
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Sex that is also Sibling that is also Sister that is also Woman that is also something that (hasChild some (Female that is also GrandMother that is also Sister that is also Son))'?, \nFalse
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Sex that is also Sibling that is also Sister that is also Woman that is also something that (hasChild some (Father that is also GrandMother that is also Sister that is also Son))'?, \nTrue
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Sex that is also Sibling that is also Sister that is also Woman that is also something that (hasChild some (Child that is also Father that is also GrandMother that is also Sister that is also Son))'?, \nFalse
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Sex that is also Sibling that is also Sister that is also Woman that is also something that (hasChild some (Father that is also GrandMother that is also Person that is also Sister that is also Son))'?, \nFalse
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Sex that is also Sibling that is also Sister that is also Woman that is also something that (hasChild some (Brother that is also Father that is also GrandMother that is also Sister that is also Son))'?, \nTrue
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Sex that is also Sibling that is also Sister that is also Woman that is also something that (hasChild some (Brother that is also Father that is also GrandMother that is also Parent that is also Sister that is also Son))'?, \nTrue
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Sex that is also Sibling that is also Sister that is also Woman that is also something that (hasChild some (Brother that is also Daughter that is also Father that is also GrandMother that is also Parent that is also Sister that is also Son))'?, \nFalse
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Sex that is also Sibling that is also Sister that is also Woman that is also something that (hasChild some (Brother that is also Father that is also GrandMother that is also Mother that is also Parent that is also Sister that is also Son))'?, \nTrue
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Sex that is also Sibling that is also Sister that is also Woman that is also something that (hasChild some (Brother that is also Father that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Sister that is also Son))'?, \nTrue
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Sex that is also Sibling that is also Sister that is also Woman that is also something that (hasChild some (Brother that is also Father that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Sex that is also Sister that is also Son))'?, \nTrue
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Sex that is also Sibling that is also Sister that is also Woman that is also something that (hasChild some (Brother that is also Father that is also GrandMother that is also GrandParent that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sister that is also Son))'?, \nTrue
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Sex that is also Sibling that is also Sister that is also Woman that is also something that (hasChild some (Brother that is also Father that is also GrandMother that is also GrandParent that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sister that is also Son that is also Woman))'?, \nTrue
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Sex that is also Sibling that is also Sister that is also Woman that is also something that (hasChild some (Brother that is also Father that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sister that is also Son that is also Woman))'?, \nTrue
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Sex that is also Sibling that is also Sister that is also Woman that is also something that (hasChild some (Brother that is also Father that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman))'?, \nTrue
Can GrandMother be considered a subcategory of 'Daughter that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Sex that is also Sibling that is also Sister that is also Woman that is also something that (hasChild some (Brother that is also Father that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman))'?, \nTrue
Can Daughter that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Sex that is also Sibling that is also Sister that is also Woman that is also Thing that is also something that (hasChild some (Brother that is also Father that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman)) be considered a subcategory of 'Daughter that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Sex that is also Sibling that is also Sister that is also Woman that is also Thing that is also something that (hasChild some (Brother that is also Father that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman))'?, True.
Can Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasChild some (Brother that is also Father that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman)) be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasChild some (Brother that is also Father that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman)) that is also something that (hasParent some (Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing)) that is also something that (hasSibling some (Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing)) that is also something that (hasSibling some (Brother that is also Child that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing))'?, True.
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasChild some (Brother that is also Father that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing)) that is also something that (hasParent some (Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing)) that is also something that (hasSibling some (Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing)) that is also something that (hasSibling some (Brother that is also Child that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing))'?, Here are
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasChild some (Brother that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman)) that is also something that (hasParent some (Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing)) that is also something that (hasSibling some (Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing)) that is also something that (hasSibling some (Brother that is also Child that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing))'?, True.
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasChild some (Brother that is also Child that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman)) that is also something that (hasParent some (Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing)) that is also something that (hasSibling some (Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing)) that is also something that (hasSibling some (Brother that is also Child that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing))'?, True.
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasChild some (Brother that is also Child that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman)) that is also something that (hasParent some (Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing)) that is also something that (hasSibling some (Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing)) that is also something that (hasSibling some (Brother that is also Child that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing))'?, True.
